epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8015.56,1.01674,0.73462,1.12161,0.9108,0.87624,0.93086,0.69314,1.03109,0.59422,1.05365,0.000199263,0.000199263,0.000199263
43,8200.28,1.02082,0.73615,1.12164,0.9018,0.89519,0.9378,0.71646,1.01223,0.57161,1.03947,0.000198025,0.000198025,0.000198025
44,8403.83,1.00901,0.73191,1.12226,0.92486,0.86495,0.93499,0.70537,1.02454,0.5898,1.04113,0.000196788,0.000196788,0.000196788
45,8602.71,1.00283,0.72068,1.11554,0.91154,0.88406,0.94096,0.70904,1.02552,0.58199,1.04019,0.00019555,0.00019555,0.00019555
46,8808.43,0.99934,0.71569,1.1137,0.91629,0.87303,0.93641,0.70101,1.05286,0.59211,1.05176,0.000194313,0.000194313,0.000194313
47,9012.41,1.01131,0.71557,1.11538,0.92675,0.88891,0.94709,0.7101,1.04005,0.56553,1.05511,0.000193075,0.000193075,0.000193075
48,9208.78,0.98211,0.70024,1.10853,0.92531,0.89426,0.94541,0.72127,1.01189,0.56927,1.03448,0.000191837,0.000191837,0.000191837
49,9413.58,0.97955,0.69693,1.10254,0.92523,0.88473,0.94271,0.71698,1.01452,0.56966,1.03968,0.0001906,0.0001906,0.0001906
50,9612.77,0.98896,0.6953,1.10658,0.91777,0.87873,0.94134,0.70282,1.04984,0.56922,1.05789,0.000189363,0.000189363,0.000189363
51,9823.2,0.98059,0.68708,1.10151,0.92364,0.89427,0.94513,0.72464,0.99396,0.54836,1.02372,0.000188125,0.000188125,0.000188125
52,10021.3,0.98372,0.69227,1.10279,0.90415,0.90069,0.93892,0.71889,1.02965,0.58416,1.04485,0.000186888,0.000186888,0.000186888
53,10220.7,0.98489,0.69487,1.10519,0.91044,0.89561,0.94803,0.71869,1.01692,0.55558,1.04389,0.00018565,0.00018565,0.00018565
54,10418.9,0.98462,0.68315,1.10377,0.93774,0.86822,0.94053,0.71145,1.0345,0.56161,1.0483,0.000184413,0.000184413,0.000184413
55,10609.8,0.99103,0.68771,1.10623,0.92709,0.88613,0.94743,0.72668,0.99484,0.55092,1.0249,0.000183175,0.000183175,0.000183175
56,10807.9,0.97978,0.67965,1.09751,0.91988,0.90068,0.94904,0.73326,1.00152,0.5393,1.03529,0.000181937,0.000181937,0.000181937
57,10995.5,0.96259,0.66582,1.09902,0.93012,0.89608,0.94949,0.73203,1.00067,0.53184,1.03765,0.0001807,0.0001807,0.0001807
58,11197.3,0.96452,0.66706,1.09355,0.92996,0.89494,0.94987,0.7268,1.00631,0.54165,1.04186,0.000179463,0.000179463,0.000179463
59,11399.6,0.96203,0.66761,1.09394,0.93448,0.90685,0.9531,0.73456,0.98976,0.51948,1.02468,0.000178225,0.000178225,0.000178225
60,11584.3,0.96085,0.66564,1.09345,0.917,0.89027,0.94202,0.71035,1.02499,0.54999,1.04784,0.000176988,0.000176988,0.000176988
61,11783,0.96013,0.66398,1.08955,0.91756,0.91184,0.94878,0.72674,1.00235,0.53987,1.0299,0.00017575,0.00017575,0.00017575
62,11975.5,0.96495,0.65974,1.09473,0.91363,0.9196,0.95017,0.72979,0.99553,0.53062,1.02411,0.000174513,0.000174513,0.000174513
63,12173.7,0.96226,0.65565,1.08919,0.93373,0.90008,0.95487,0.73413,1.00812,0.51415,1.03101,0.000173275,0.000173275,0.000173275
64,12354.9,0.96161,0.65574,1.09242,0.93749,0.90081,0.9495,0.73011,1.0076,0.52516,1.0338,0.000172038,0.000172038,0.000172038
65,12560.4,0.96285,0.65718,1.09464,0.92347,0.90453,0.95128,0.73428,1.00435,0.53181,1.02929,0.0001708,0.0001708,0.0001708
66,12758.1,0.95481,0.6463,1.08763,0.93486,0.89254,0.95117,0.7255,1.00293,0.52433,1.0288,0.000169563,0.000169563,0.000169563
67,12958.5,0.96352,0.64759,1.08941,0.91895,0.89967,0.9549,0.73644,0.99491,0.51135,1.03203,0.000168325,0.000168325,0.000168325
68,13145.5,0.95854,0.65202,1.09096,0.92443,0.90647,0.94971,0.7453,0.99345,0.53674,1.02961,0.000167088,0.000167088,0.000167088
69,13322.1,0.94076,0.64277,1.08376,0.92647,0.90085,0.95209,0.73742,1.01448,0.53503,1.03438,0.00016585,0.00016585,0.00016585
70,13514.8,0.95,0.6378,1.08288,0.94024,0.89422,0.95251,0.73598,0.99557,0.5168,1.02046,0.000164612,0.000164612,0.000164612
71,13711.5,0.94166,0.63795,1.08226,0.93092,0.91231,0.95413,0.73162,1.02808,0.52122,1.0456,0.000163375,0.000163375,0.000163375
72,13910.8,0.93857,0.63288,1.08099,0.93144,0.89849,0.95693,0.74556,0.98753,0.5083,1.02936,0.000162138,0.000162138,0.000162138
